GATE_SB_SL: -1792.092,-206.9811,-1527.218,-748.5135,0,0
GATE_SH_SL: 415.2781,420.1586,604.8745,1099.392,2,0
GATE_GW_SL: -2562.697,278.7062,-1804.673,236.0605,1,0
SL_S02: 483.8406,331.4595,643.528,1004.372,2,0
SL_A08: -2473.548,166.77,-1744.613,106.5847,1,0
SL_S07: -2590.59,166.7694,-1793.369,-27.11245,1,0
SL_C12: -2164.097,160.2411,-1633.58,102.4103,1,0
SL_B02: 297.4527,169.77,455.3869,906.5847,2,1
SL_C11: 578.5705,280.4134,743.473,913.4995,2,1
SL_A14: 225.329,54.02645,467.323,756.749,2,1
SL_E03: 789.2953,53.50319,481.6081,-120.8476,2,1
SL_A02: 39.45218,166.77,264.3872,903.5847,2,1
SL_A17: 36.49151,53.44958,264.894,757.0452,2,1
SL_C01: -144.5475,149.77,55.38773,805.5847,2,1
SL_A13: -88.79913,-67.22994,6.759077,-36.71229,1,1
SL_B01: -345.5475,247.7699,-148.6122,852.5847,2,1
SL_F01: -1617.547,98.77048,-1315.613,20.58443,1,1
SL_C02: -1170.547,162.77,-912.6122,526.5847,0,1
SL_C10: -1074.546,-230.2297,-786.6122,-257.4153,2,1
SL_A10: -769.5473,-327.2301,-652.6122,-233.4155,2,1
SL_F02: -592.5476,96.77007,-501.6121,452.5844,0,1
SL_S05: -597.4718,131.4177,-390.9929,307.9984,0,0
SL_D06: -806.5473,161.77,-689.6119,913.5847,2,1
SL_D04: -172.5476,99.77029,-138.6121,456.5844,0,1
SL_A12: -189.3253,-68.23006,-83.05649,-163.0546,1,1
SL_H02: 641.4524,99.77035,194.3879,472.5844,0,1
SL_H03: 1602.453,159.77,828.387,9.584493,0,1
SL_C09: 2500.452,163.77,1769.387,18.5844,0,2
SL_A16: 2660.213,277.8981,1979.753,99.65186,0,2
SL_S10: 2544.949,277.3793,1863.035,97.43118,0,0
SL_I01: 2974.452,258.7699,2101.389,-2.415521,0,2
SL_A15: 3277.842,265.4593,2441.527,84.37341,0,0
SL_S06: 3274.902,371.2413,2439.419,197.4102,0,0
SL_AI: 3503.974,184.837,2559.371,32.39554,0,2
SL_C08: -1367.547,-224.2297,-1006.612,-445.4156,1,1
SL_C05: -1037.547,-325.2301,-853.6122,-426.4156,1,1
SL_S09: -755.3723,-325.2134,-556.7687,-563.0895,1,0
SL_C04: -627.5476,-217.23,-496.6121,-440.4156,1,1
SL_D01: -518.5476,94.77007,-467.6121,12.58443,1,1
SL_D02: -421.5477,-271.2297,-338.6121,-521.4161,1,1
SL_D03: -164.5475,-371.2301,-125.6122,-497.4157,1,1
SL_A07: -1.547275,-258.2301,123.3877,-414.4156,1,1
SL_A04: -125.5475,-185.23,-33.61198,-290.4156,1,1
SL_S03: -185.4718,-108.5824,-198.9929,-234.0015,2,0
SL_E01: 135.4524,-194.2296,231.3879,-502.4157,1,1
SL_B04: 139.4522,398.7698,322.388,-15.41553,0,1
SL_C03: 140.1023,35.24495,140.3877,-12.41548,0,1
SL_A11: 11.67419,-99.22991,105.9431,-200.0546,1,1
SL_A05: 303.4522,-288.2301,354.3879,-395.4156,1,1
SL_E02: 824.4505,-307.2301,500.3877,-396.4156,1,1
SL_S08: 1125.54,-196.3384,911.5709,-270.8571,1,0
SL_C07: 1359.453,-209.23,1078.387,-435.4156,1,1
SL_A03: -425.5477,-309.2301,-486.6121,-898.4153,0,1
SL_C06: -754.5479,-311.2301,-857.6122,-890.4153,0,1
SL_S04: -721.4718,-240.5823,-720.993,-779.0016,0,0
SL_A06: -1077.546,-314.2301,-1001.612,-887.4153,0,1
SL_D05: -1461.547,-316.2301,-1463.613,-882.4153,0,1
OffScreenDen_SL: -1087.546,-66.22994,-1200.613,-158.4155,1,1
Connection: GATE_SB_SL,SL_D05,36,5,5,31,3,2
Connection: GATE_SH_SL,SL_C11,45,11,5,100,0,2
Connection: GATE_SH_SL,SL_S02,36,5,17,17,3,2
Connection: GATE_GW_SL,SL_A08,36,5,9,32,3,1
Connection: SL_A08,SL_S07,4,18,29,18,2,0
Connection: SL_A08,SL_C12,47,15,2,17,0,2
Connection: SL_C12,SL_F01,143,17,6,58,0,2
Connection: SL_B02,SL_A02,12,30,35,28,3,3
Connection: SL_B02,SL_C11,104,32,5,39,3,2
Connection: SL_B02,SL_A14,31,13,23,33,3,1
Connection: SL_A14,SL_A17,2,4,44,4,2,0
Connection: SL_A14,SL_E03,40,4,5,4,0,2
Connection: SL_E03,SL_H03,230,30,57,8,1,3
Connection: SL_A02,SL_C01,10,28,40,76,3,0
Connection: SL_A02,SL_A17,7,10,8,27,3,1
Connection: SL_C01,SL_B01,9,53,42,16,3,3
Connection: SL_C01,SL_A13,24,21,16,33,3,1
Connection: SL_A13,SL_A04,16,2,28,31,3,1
Connection: SL_B01,SL_D06,3,29,194,14,3,3
Connection: SL_F01,SL_C08,189,62,27,112,3,1
Connection: SL_F01,SL_C02,171,22,14,9,3,3
Connection: SL_C02,SL_D06,55,18,24,22,3,3
Connection: SL_C02,SL_C10,102,15,30,112,3,1
Connection: SL_C02,SL_F02,164,7,3,57,3,3
Connection: SL_C10,SL_A10,49,30,3,18,0,2
Connection: SL_A10,SL_D02,44,18,4,63,0,2
Connection: SL_F02,SL_S05,64,64,9,19,3,2
Connection: SL_F02,SL_D06,62,64,113,31,3,3
Connection: SL_F02,SL_D04,127,49,24,62,3,3
Connection: SL_D04,SL_A12,34,63,10,31,3,1
Connection: SL_D04,SL_H02,70,61,31,66,3,3
Connection: SL_A12,SL_A04,27,3,21,31,3,1
Connection: SL_H02,SL_H03,180,51,38,11,3,3
Connection: SL_H03,SL_C09,425,23,4,17,0,2
Connection: SL_H03,SL_C07,143,31,20,112,3,1
Connection: SL_C09,SL_A16,151,32,43,3,1,3
Connection: SL_A16,SL_S10,4,26,30,26,2,0
Connection: SL_A16,SL_I01,43,13,4,62,0,2
Connection: SL_I01,SL_A15,144,66,3,21,0,2
Connection: SL_A15,SL_S06,43,32,31,20,1,0
Connection: SL_A15,SL_AI,44,3,2,30,0,1
Connection: SL_C08,SL_C05,42,42,6,31,0,2
Connection: SL_C05,SL_S09,155,31,13,31,0,2
Connection: SL_C05,SL_C04,159,20,4,28,0,2
Connection: SL_C04,SL_D01,26,112,12,58,1,3
Connection: SL_D01,SL_D02,82,63,23,145,3,1
Connection: SL_D02,SL_D03,49,63,2,60,0,2
Connection: SL_D03,SL_A04,51,72,9,10,0,0
Connection: SL_D03,SL_A03,8,72,44,27,2,0
Connection: SL_D03,SL_A07,92,70,11,18,0,2
Connection: SL_A07,SL_E01,39,23,4,86,0,2
Connection: SL_A04,SL_S03,4,29,23,12,2,3
Connection: SL_A04,SL_A11,35,31,4,5,1,3
Connection: SL_E01,SL_B04,21,204,23,98,1,3
Connection: SL_E01,SL_C03,11,165,23,100,2,3
Connection: SL_E01,SL_A05,45,66,4,13,0,2
Connection: SL_B04,SL_C03,33,62,42,114,3,3
Connection: SL_C03,SL_A11,16,23,31,32,3,1
Connection: SL_A05,SL_E02,42,29,7,30,0,2
Connection: SL_E02,SL_S08,240,32,35,10,1,3
Connection: SL_E02,SL_C07,248,18,1,28,0,2
Connection: SL_A03,SL_C06,3,30,141,27,2,0
Connection: SL_C06,SL_S04,92,30,24,13,0,3
Connection: SL_C06,SL_A06,2,15,45,17,2,0
Connection: SL_A06,SL_D05,2,17,201,16,2,0
