GATE_SH_UW: 3896.411,12.38016,2414.629,-321.5732,0,0
GATE_SH_SL: 2342.599,271.0179,1665.456,64.30583,1,0
GATE_HI_SH: -2652.662,601.5093,-1686.367,808.7271,1,0
SH_C11: -2499.512,458.1469,-1568.994,629.4547,1,0
SH_S03: -2583.623,493.4308,-1640.862,702.8673,1,0
SH_S05: 2257.021,160.9269,1617.595,-50.74277,1,0
SH_D01: -2123.245,357.528,-1456.179,648.7092,1,1
SH_A25: -1784.247,311.528,-1072.179,525.7092,1,1
SH_A13: -1654.247,412.528,-949.1768,733.7092,1,1
SH_A14: -1483.247,415.528,-757.1768,747.7092,1,1
SH_C02: -1153.247,414.528,-604.1768,774.7092,1,1
SH_B08: -802.3874,351.1082,-234.1768,689.7092,1,1
SH_A11: -1632.247,305.528,-954.1768,501.709,1,1
SH_A15: -1520.247,202.5277,-803.1768,404.7093,1,1
SH_A12: -1485.247,318.528,-802.1768,543.7092,1,1
SH_B09: -970.2471,219.5281,-484.1768,452.7093,2,1
SH_A05: -1124.247,254.5279,-350.1768,415.7093,0,1
SH_S04: -997.6581,254.1849,-224.5171,414.0478,0,0
SH_B01: -795.2471,253.5279,-354.1768,565.7092,0,1
SH_C10: -397.2008,253.4556,-122.7778,561.7988,0,1
SH_A21: -86.24712,254.5279,205.8232,565.7092,0,1
SH_C03: -650.2471,80.52798,-380.1766,282.709,2,1
SH_B15: -1043.201,12.45588,-492.7778,191.7986,2,1
SH_B16: -1283.786,-36.51978,-717.4174,201.1974,2,1
SH_C07: -1566.247,-53.47178,-840.1768,86.70887,2,1
SH_S01: -1677.247,-84.47186,-964.1768,167.7092,2,0
SH_B17: -1287.726,-157.7588,-707.9694,81.54058,2,1
SH_C09: -772.2001,-154.5443,-487.7777,75.79832,2,1
SH_C01: -404.2471,50.52804,-107.1768,423.7093,1,1
SH_B06: -664.2471,-308.472,-670.1768,-210.2906,1,1
SH_A17: -534.2471,-247.4722,-525.1764,-87.29088,2,1
SH_A16: -392.2474,-152.4723,-267.1768,-48.2912,2,1
SH_A24: -358.2474,-263.472,-420.1768,-232.2907,1,1
SH_S06: -351.7904,-345.9301,-415.0391,-371.8218,1,0
SH_B07: 780.7526,-253.472,487.823,-497.2911,1,1
SH_S07: 528.21,-312.9301,199.9609,-436.8218,1,0
SH_B13: 610.7996,-417.5445,197.2222,-563.2012,1,1
SH_B11: -460.247,-375.472,-541.1765,-323.291,1,1
SH_D02: -184.2474,-527.4724,-541.1769,-651.2908,1,1
SH_B10: 344.7529,-527.4724,-105.1769,-648.2908,1,1
SH_A06: -95.24712,49.52822,-162.1766,135.7092,1,1
SH_B02: 140.7526,48.52824,-30.17676,138.7092,1,1
SH_B03: 365.753,191.5277,193.8234,146.7092,1,1
SH_C04: 519.7529,306.528,316.8232,166.7092,1,1
SH_S02: 645.7529,210.5279,442.8232,223.7094,1,0
SH_A10: 516.7529,560.5276,319.8232,480.709,1,1
SH_C05: 839.7529,298.528,449.8232,80.70887,1,1
SH_E05: 1436.592,256.4395,809.9434,51.22878,1,1
SH_C13: 2042.791,255.442,1340.04,52.5151,1,0
SH_A07: 477.7533,-68.47179,315.8232,-142.2908,1,1
SH_B04: 712.7529,-13.47172,494.8233,-108.2908,1,1
SH_A04: 995.7532,-11.47172,754.8232,-119.2908,1,1
SH_A26: 1183.973,-15.57597,883.1707,-116.523,1,1
SH_A19: 454.7529,-179.4723,294.8232,-275.291,1,1
SH_B05: 242.7527,-85.47173,29.82329,-136.2908,1,1
SH_C08: -88.24725,-195.4723,-305.1768,-180.2908,1,1
SH_A22: 271.7529,-256.472,122.8233,-283.2907,2,1
SH_C12: 465.4798,-198.9058,231.0306,-248.5916,2,1
SH_A23: 780.7529,-107.472,590.8232,-261.2907,1,1
SH_A09: 822.7529,-6.471804,750.8232,-288.2907,2,1
SH_A08: 968.7531,-7.471773,911.8232,-251.2907,2,1
SH_E02: 34.75267,-485.472,-411.1768,-849.2908,0,1
SH_S08: -277.578,-590.8077,-413.0033,-966.1174,0,0
SH_B12: 489.7533,-365.472,149.8234,-806.2908,0,0
SH_S09: 638.8732,-442.6761,276.0563,-813.3802,0,0
SH_E03: 944.7529,-233.4721,300.8232,-681.2908,0,2
SH_E01: 1711.753,-234.4721,864.8232,-679.2908,0,2
SH_H01: 3201.592,-172.5606,1715.944,-510.7706,0,2
SH_E04: 2491.592,-235.5603,1450.944,-672.7709,0,2
