GATE_UW_SS: -318.222,-1701.796,-202.8244,-1777.35,0,0
GATE_SS_UW: -762.5126,2184.629,-718.6901,2053.367,2,0
SS_D08: -528.1429,2246.414,-588.3209,2050.875,2,1
SS_S04: -609.1282,2074.76,-581.4819,1921.14,2,0
SS_E08: -413.0696,1953.984,-472.7224,1614.495,2,1
SS_D07: -185.5125,1625.63,-477.6904,1462.369,2,0
SS_L01: 19.25777,1412.517,-31.99845,1237.91,0,5
SS_AI: 60.13047,1490.011,312.8925,1404.666,1,0
SS_E07: 28.25776,902.5189,72.00159,803.9108,0,5
SS_E06: 17.25772,565.5189,-139.9988,678.9108,0,1
SS_C08: 225.2577,315.5187,93.00146,398.9108,0,1
SS_A14: 980.2573,714.5184,799.0014,800.9108,0,2
SS_LAB13: 1141.258,715.5184,944.0014,799.9108,0,2
SS_A01: 1301.258,715.5184,1082.002,798.9108,0,2
SS_D02: 565.2576,538.5189,407.0016,593.9108,0,2
SS_LAB8: 814.2581,591.5189,653.0014,679.9108,0,2
SS_LAB1: 978.2576,594.5189,803.0014,671.9108,0,2
SS_LAB2: 1140.258,590.5184,940.0014,669.9108,0,2
SS_LAB6: 1300.258,591.5184,1080.002,669.9108,0,2
SS_A17: 532.2581,356.5187,444.0018,413.9108,0,1
SS_E03: 528.2581,-15.48125,441.0016,-40.08934,0,1
SS_LAB7: 814.2576,473.5188,654.0014,539.9108,0,2
SS_LAB9: 980.2581,473.5188,801.0014,537.9108,0,2
SS_LAB3: 1142.258,473.5185,940.0014,536.9108,0,2
SS_LAB12: 1299.258,474.5185,1078.002,536.9108,0,0
SS_LAB11: 816.2576,353.5187,650.0014,389.9108,0,0
SS_LAB10: 978.2576,355.5187,799.0014,389.9108,0,4
SS_LAB5: 1140.258,354.5187,940.0014,389.9108,0,4
SS_LAB4: 1297.258,355.5187,1079.002,388.9108,0,4
SS_E05: 1299.442,7.918432,1082.002,-54.08941,1,4
SS_I03: -602.7419,582.5189,-478.9984,602.9108,0,3
SS_C07: -1408.742,591.5189,-903.9986,694.9108,0,3
SS_C03: -1721.742,451.5188,-1238.998,518.9108,0,3
SS_B02: -1230.742,220.5184,-839.9986,404.9108,0,3
SS_A16: -1723.742,227.5187,-1241.998,347.9108,0,3
SS_A03: -1716.742,120.5187,-1243.998,200.9107,0,1
SS_A15: -1685.742,12.51873,-1230.998,32.91059,0,1
SS_E02: -1225.742,7.518762,-1041.998,27.91061,0,1
SS_A04: -1124.742,-255.4813,-765.9986,-85.08932,0,1
SS_B06: -878.7419,-306.4813,-655.9986,-121.0893,0,1
SS_A11: -627.7419,299.5187,-387.9984,287.9107,0,3
SS_D03: -642.7424,82.51848,-453.9984,31.91061,0,3
SS_D04: -565.7424,-413.4813,-398.9982,-231.0892,0,1
SS_C04: 338.2577,-395.4813,213.0012,-174.0893,0,1
SS_C06: -1677.742,-222.4814,-1236.998,-279.0892,0,1
SS_H01: -1360.742,-511.4811,-1139.998,-464.0893,0,1
SS_F02: -1010.742,-813.4811,-804.9986,-747.0892,0,1
SS_S02: -1108.122,-570.0057,-715.8693,-431.176,1,0
SS_B03: -450.7423,-636.4811,-273.9982,-484.0893,0,1
SS_E01: -454.7423,-810.4811,-476.9987,-664.0892,0,1
SS_F01: -707.7419,-1217.483,-551.9986,-1171.09,0,1
SS_C02: -459.7423,-1373.483,-262.9982,-1276.09,0,1
SS_I02: -393.7419,-1054.479,-336.9984,-963.0892,0,1
SS_A10: -239.7423,-1257.483,-127.9988,-1370.09,0,1
SS_A09: -251.7421,-1368.483,-133.9988,-1497.09,0,1
SS_B01: -101.7423,-1430.483,38.00162,-1588.09,0,1
SS_A08: -91.74244,-1598.483,42.00162,-1722.09,0,1
SS_A19: -236.2898,-1597.651,-72.23175,-1723.61,0,1
SS_S01: 0.2613538,-1570.709,149.7776,-1719.745,0,0
SS_B05: 336.2581,-1379.483,42.00161,-1374.09,1,0
SS_D06: 653.2576,-1450.483,270.0016,-1463.09,1,4
SS_A18: 834.2576,-1276.483,450.0016,-1259.09,1,4
SS_F03: 984.2581,-984.48,581.0014,-1264.09,1,4
SS_B04: 990.2576,-519.4816,582.0014,-749.0892,1,4
SS_S03: 990.4691,-340.7487,568.0704,-416.8736,2,0
SS_A13: 975.2581,-340.4813,574.0014,-542.0892,1,4
SS_E04: 315.2577,-808.4811,52.00164,-662.0892,0,0
SS_D05: 1225.258,-395.4813,735.0014,-628.0892,1,4
OffScreenDen_SS: -524.7419,518.5189,-157.9988,354.9107,1,1
Connection: GATE_UW_SS,SS_A19,36,19,9,7,1,3
Connection: GATE_SS_UW,SS_D08,45,9,5,10,0,2
Connection: SS_D08,SS_S04,38,8,35,25,3,1
Connection: SS_D08,SS_E08,80,43,12,185,3,1
Connection: SS_E08,SS_D07,11,9,13,32,3,1
Connection: SS_D07,SS_AI,188,5,28,33,3,1
Connection: SS_L01,SS_AI,88,127,20,33,3,1
Connection: SS_L01,SS_E07,76,10,22,187,3,1
Connection: SS_E07,SS_E06,20,8,126,31,3,1
Connection: SS_E06,SS_D02,248,31,3,74,0,2
Connection: SS_E06,SS_I03,4,18,151,55,2,0
Connection: SS_E06,SS_C08,123,3,4,30,3,1
Connection: SS_C08,SS_A17,148,31,2,18,0,2
Connection: SS_A14,SS_LAB13,43,31,9,31,0,2
Connection: SS_A14,SS_LAB1,26,2,27,31,3,1
Connection: SS_LAB13,SS_A01,43,31,2,31,0,2
Connection: SS_A01,SS_LAB6,25,2,29,31,3,1
Connection: SS_D02,SS_LAB8,101,46,4,6,0,2
Connection: SS_LAB8,SS_LAB1,45,31,9,31,0,2
Connection: SS_LAB8,SS_LAB7,25,2,29,31,3,1
Connection: SS_LAB1,SS_LAB9,26,2,27,31,3,1
Connection: SS_LAB2,SS_LAB6,43,31,9,31,0,2
Connection: SS_LAB2,SS_LAB3,26,2,27,31,3,1
Connection: SS_LAB6,SS_LAB12,26,1,27,31,3,1
Connection: SS_A17,SS_LAB7,45,31,9,31,0,2
Connection: SS_A17,SS_E03,42,2,44,184,3,1
Connection: SS_E03,SS_C04,25,2,140,31,3,1
Connection: SS_LAB7,SS_LAB9,43,3,8,3,0,2
Connection: SS_LAB7,SS_LAB11,24,2,27,31,3,1
Connection: SS_LAB3,SS_LAB12,43,3,8,3,0,2
Connection: SS_LAB3,SS_LAB5,26,2,24,32,3,1
Connection: SS_LAB12,SS_LAB4,24,2,27,32,3,1
Connection: SS_LAB11,SS_LAB10,43,3,8,3,0,2
Connection: SS_LAB10,SS_LAB5,43,31,9,31,0,2
Connection: SS_LAB5,SS_LAB4,43,31,9,31,0,2
