GATE_SU_DS: -411.4351,-432.2843,-596.5408,-616.8279,2,0
GATE_SU_HI: 270.7386,324.4179,263.3281,540.8419,1,0
GATE_LF_SU: -1901.436,92.71567,-1579.54,216.172,1,0
SU_B13: 184.4822,248.3098,141.5594,444.8221,1,1
SU_A33: 187.4826,108.31,141.5594,313.8219,1,1
SU_B04: 424.4828,100.3101,303.5597,253.8219,1,1
SU_A34: 189.4826,107.31,141.5594,188.8223,1,1
SU_A37: 664.4827,93.31017,577.5593,250.8219,1,1
SU_S04: 654.5651,165.4547,577.0247,371.1505,1,0
SU_A63: 822.4827,84.31017,752.5593,259.822,1,1
SU_B12: 1064.481,75.31017,922.5593,259.8223,1,1
SU_A17: 1319.481,77.31013,1191.56,239.8219,1,1
SU_A40: 1459.481,29.3101,1350.56,89.82201,0,1
SU_B07: 1222.481,-2.689838,1095.56,-24.17808,0,1
SU_A02: 986.4821,7.310151,925.5593,-24.17808,0,1
SU_A53: 823.4827,19.31015,755.5593,-28.17807,0,1
SU_A39: 664.4827,23.31011,586.5593,69.82201,0,1
SU_A38: 659.4827,14.31015,590.5593,-74.17784,0,1
SU_A25: 749.4827,-104.6902,754.5593,-184.1781,0,0
SU_A24: 748.4827,-215.6902,774.5593,-331.1781,0,0
SU_A23: 576.4824,-214.6902,635.5593,-331.1781,0,0
SU_A22: 473.4823,-322.6901,567.5598,-488.1781,0,0
SU_C04: -58.41451,-226.3052,39.41796,-336.0151,1,0
SU_A41: 255.5858,-222.3052,374.4177,-334.0151,1,0
SU_A42: 264.5858,-120.3051,385.4177,-209.0152,1,0
SU_A43: 416.5857,-215.3051,511.4177,-334.0151,1,0
SU_A44: 409.5857,-222.3052,318.4177,-490.0151,2,0
SU_S01: 360.5056,-329.0473,446.607,-489.3208,0,0
SU_A06: 490.4825,14.31015,419.5597,-14.17805,0,1
SU_A36: 320.4823,9.310156,261.5597,9.821928,0,1
SU_B08: 77.48232,0.3101375,-10.4403,6.821983,0,1
SU_B09: -167.5174,62.3101,-186.4406,-0.1780611,0,1
SU_A35: -119.5178,47.31007,-64.44026,138.8219,1,1
SU_A20: 31.48237,108.31,-5.440234,284.822,1,1
SU_A31: -320.5175,82.31009,-317.4403,93.82195,1,1
SU_A32: -618.5173,-14.68987,-549.4407,106.8222,1,1
SU_B05: -948.519,-1.689908,-804.4407,105.8222,1,1
SU_A07: -1122.519,62.3102,-979.4405,175.8219,1,1
SU_A45: -1751.836,64.87273,-1468.327,192.1091,1,0
SU_C02: -1448.519,66.31013,-1357.44,192.8219,1,1
SU_B06: -820.5176,245.3098,-718.4407,325.8221,1,1
SU_B11: -629.5173,432.3099,-642.4407,587.8217,1,1
SU_A12: -550.5173,316.3099,-488.4407,431.8221,1,1
SU_A13: -384.5177,432.3099,-393.4403,588.8217,1,1
SU_B02: -300.5177,250.3098,-328.4403,242.8219,1,1
SU_A29: -126.5175,91.31013,-170.4406,293.822,1,1
SU_B10: -167.5175,-171.6902,-445.4403,-181.1781,2,1
SU_A10: -373.5175,-248.6902,-500.4407,-379.1781,2,1
SU_B01: -544.5173,-281.6901,-654.4407,-462.1781,2,1
SU_S03: -383.0797,-327.9229,-499.3312,-505.2717,2,0
SU_A04: -731.5173,-219.6902,-827.4407,-375.1781,2,1
SU_C01: -910.5179,-332.6901,-961.4413,-532.1783,2,1
SU_B14: -659.2065,-446.7014,-825.8088,-625.2983,2,0
SU_A30: -733.5173,-331.6901,-823.4407,-498.1781,2,1
OffScreenDen_SU: -588.5173,1149.31,392.5597,589.8217,1,0
Connection: GATE_SU_DS,SU_B14,2,9,98,14,2,0
Connection: GATE_SU_HI,SU_B13,2,9,26,56,2,0
Connection: GATE_LF_SU,SU_A45,45,9,3,18,0,2
Connection: SU_B13,SU_A33,15,16,14,34,3,1
Connection: SU_A33,SU_B04,44,31,7,33,0,2
Connection: SU_A33,SU_A20,3,27,47,28,2,0
Connection: SU_B04,SU_A37,100,22,6,23,0,2
Connection: SU_B04,SU_A34,4,2,45,2,2,0
Connection: SU_A34,SU_A20,2,12,49,12,2,0
Connection: SU_A37,SU_S04,23,31,23,18,1,3
Connection: SU_A37,SU_A63,47,23,10,23,0,2
Connection: SU_A37,SU_A39,26,18,25,33,3,1
Connection: SU_A63,SU_B12,39,25,5,25,0,2
Connection: SU_B12,SU_A17,99,13,6,11,0,2
Connection: SU_A17,SU_A40,48,22,2,24,0,2
Connection: SU_A40,SU_B07,2,17,99,25,2,0
Connection: SU_B07,SU_A02,5,23,49,21,2,0
Connection: SU_A02,SU_A53,4,21,46,19,2,0
Connection: SU_A53,SU_A39,3,29,37,26,2,0
Connection: SU_A53,SU_A38,8,7,48,5,2,0
Connection: SU_A53,SU_A25,29,3,41,27,3,0
Connection: SU_A39,SU_A06,6,26,49,27,2,0
Connection: SU_A38,SU_A06,6,5,49,6,2,0
Connection: SU_A38,SU_A25,27,8,15,24,3,1
Connection: SU_A25,SU_A23,6,14,42,30,2,0
Connection: SU_A25,SU_A24,48,5,38,24,3,1
Connection: SU_A24,SU_A23,14,10,46,9,3,0
Connection: SU_A23,SU_A22,6,12,29,27,2,1
Connection: SU_A22,SU_A43,23,27,34,12,1,3
Connection: SU_A22,SU_S01,12,16,31,18,2,0
Connection: SU_C04,SU_A41,151,11,5,9,0,2
Connection: SU_A41,SU_A42,19,29,10,3,2,3
Connection: SU_A41,SU_A43,48,23,6,23,0,2
Connection: SU_A41,SU_A44,47,5,4,5,0,2
Connection: SU_A06,SU_A36,4,25,48,26,2,0
Connection: SU_A36,SU_B08,5,5,102,8,2,0
Connection: SU_B08,SU_B09,1,7,48,8,2,0
Connection: SU_B09,SU_A31,2,48,44,7,2,0
Connection: SU_B09,SU_A35,29,51,14,27,3,1
Connection: SU_B09,SU_B10,24,12,22,74,3,1
Connection: SU_A35,SU_A20,48,22,3,2,0,3
Connection: SU_A20,SU_A29,5,20,49,20,2,0
Connection: SU_A31,SU_B02,3,29,3,3,1,2
Connection: SU_A31,SU_A32,3,3,39,31,3,1
Connection: SU_A32,SU_B05,2,10,36,16,2,0
Connection: SU_B05,SU_B06,49,69,9,45,0,3
Connection: SU_B05,SU_A07,8,57,49,12,3,0
Connection: SU_A07,SU_C02,4,10,144,9,2,0
Connection: SU_A45,SU_C02,44,20,8,19,0,2
Connection: SU_B06,SU_B11,40,73,10,3,0,3
Connection: SU_B06,SU_A12,40,69,4,22,0,2
Connection: SU_B11,SU_A13,95,12,5,12,0,2
Connection: SU_B11,SU_A12,65,3,14,31,3,1
Connection: SU_A12,SU_B02,49,22,5,66,0,2
Connection: SU_A13,SU_B02,40,3,9,73,3,1
Connection: SU_B02,SU_A29,49,26,5,26,0,2
Connection: SU_B10,SU_A10,22,47,49,10,3,0
Connection: SU_A10,SU_B01,4,19,48,53,2,0
Connection: SU_B01,SU_A04,5,51,37,11,2,0
Connection: SU_B01,SU_S03,48,23,18,17,0,2
Connection: SU_B01,SU_A30,5,21,43,15,2,0
Connection: SU_A04,SU_C01,4,7,44,83,2,0
Connection: SU_C01,SU_A30,45,41,14,11,0,3
Connection: SU_C01,SU_B14,44,15,3,14,0,2
